Year,Cement (tonnes),Flaring (tonnes),Oil (tonnes),Coal (tonnes),Gas (tonnes),Total(Tonnes)
1972,10992,0,2425568,355408,714480,3506448
1973,14656,0,2931200,461664,1143168,4550688
1974,43968,0,2817616,410368,1381328,4653280
1975,84272,0,3345232,472656,963632,4865792
1976,76944,0,3627360,447008,1410640,5561952
1977,153888,0,3572400,501968,1579184,5807440
1978,168544,0,3748272,421360,1674448,6012624
1979,161216,0,4206272,359072,1916272,6642832
1980,168544,0,4803504,447008,2216720,7635776
1981,172208,0,4847472,465328,2440224,7925232
1982,161216,0,4700912,567920,3165696,8595744
1983,153888,0,4250240,304112,3521104,8229344
1984,135568,0,4396800,117248,4466416,9116032
1985,120912,0,4836480,186864,5085632,10229888
1986,146560,0,5290816,282128,5734160,11453664
1987,153888,0,5327456,443344,5928352,11853040
1988,153888,0,6001632,381056,6998240,13534816
1989,157552,0,5767136,102592,7415936,13443216
1990,168544,0,6705120,1069888,7577152,15520704
1991,135568,0,6393680,340752,9057408,15927408
1992,135568,0,7668752,322432,9607008,17733760
1993,135568,0,6745424,120912,10391104,17393008
1994,139232,0,7243728,98928,11471984,18953872
1995,139232,0,8412544,1220112,13029184,22801072
1996,322432,0,9511744,677840,13498176,24010192
1997,505632,0,10050352,1227440,13263680,25047104
1998,619216,0,8731312,351744,14322576,24024848
1999,1040576,0,8383232,175872,15615968,25215648
2000,1784368,0,7928896,1253088,16880048,27846400
2001,2495184,0,9702272,1330032,18902576,32430064
2002,2491520,0,9973408,1330032,19888192,33683152
2003,2491520,0,10394768,1366672,21390432,35643392
2004,2491520,0,10640256,1450944,23090528,37673248
2005,2542816,0,10577968,1604832,24724672,39450288
2006,2542816,0,10896736,1810016,28256768,43506336
2007,2542816,0,10017376,2209392,29579472,44349056
2008,4983040,0,9793872,2469536,32224880,49471328
2009,5979648,0,9255264,3015472,35441872,53692256
2010,6862672,0,10555984,3074096,39398992,59891744
2011,7320672,0,13578784,2835936,39626160,63361552
2012,7599136,0,14710960,3422176,41714640,67446912
2013,8361248,0,14165024,3748272,43378096,69652640
2014,8471168,0,15220256,3506448,45931904,73129776
