Year,Cement (tonnes),Flaring (tonnes),Oil (tonnes),Coal (tonnes),Gas (tonnes),Total(Tonnes)
1972,38222848,13307648,2269173824,1124840672,1115673344,4561218336
1973,39589520,13186736,2399483984,1210552624,1103479552,4766292416
1974,37468064,8899856,2299907456,1196281344,1052168896,4594725616
1975,31517728,7111824,2234735888,1151228800,978130448,4402724688
1976,33675824,7338992,2299431136,1274423472,994457232,4609326656
1977,36189328,7262048,2442719184,1289354272,962888208,4738413040
1978,38640544,8123088,2492560576,1367298544,980233584,4886856336
1979,38834736,8866880,2420321152,1414751008,1015012272,4897786048
1980,34676096,6690464,2216709008,1460030720,1001239296,4719345584
1981,32968672,5232192,2035535200,1488434048,969919424,4532089536
1982,29084832,4990368,1929121648,1437269952,902758304,4303225104
1983,32254192,5089296,1926611808,1516844704,857526224,4338326224
1984,35577440,5789120,1957840080,1586090640,886237328,4471534608
1985,35647056,5100288,1961478432,1626680432,859977440,4488883648
1986,36127040,5243184,2045171520,1588461248,816786208,4491789200
1987,35940176,6631840,2096167072,1680812368,864986128,4684537584
1988,35375920,7643104,2179896800,1758906864,906700768,4888523456
1989,35511488,7595472,2172744672,1796755984,938420016,4951027632
1990,35577440,8101104,1992248704,1780370576,1003159232,4819457056
1991,34115504,9152672,1959690400,1764461488,1049486848,4816906912
1992,35320960,9020768,2004603712,1786452816,1070118832,4905517088
1993,37431424,12212112,2045512272,1829006512,1100398128,5024560448
1994,39541888,12296384,2074586112,1840914512,1122847456,5090186352
1995,39028928,15282544,2074457872,1838690464,1161260832,5128720640
1996,40271024,14656000,2132708144,1908687520,1151492608,5247815296
1997,41985776,13805952,2186865728,1961529728,1160135984,5364323168
1998,42615984,5547296,2234395136,1972660960,1141368976,5396588352
1999,43740832,5939344,2265579440,1985096576,1199809776,5500165968
2000,44601872,4913424,2316120656,2069269648,1254121248,5689026848
2001,45070864,5221200,2325910864,2036487840,1178529264,5591220032
2002,45477568,5342112,2302497904,2058677024,1224699328,5636693936
2003,47005456,5283488,2374517488,2055232864,1189019296,5671058592
2004,49339424,5191888,2426183552,2102897840,1167753440,5751366144
2005,50281072,6415664,2444411952,2121837056,1162044928,5784990672
2006,49687504,6972592,2392962064,2092506736,1150492336,5692621232
2007,48262208,7727376,2375290592,2109335488,1243682512,5784298176
2008,43656560,8987792,2240334480,2076791840,1239747376,5609518048
2009,32312816,8907184,2150496864,1840511472,1226967344,5259195680
2010,33485296,8936496,2164511664,1910153120,1274031424,5391118000
2011,34203440,11281456,2109533344,1827310080,1303028320,5285356640
2012,37339824,11464656,2075956448,1626464256,1364022928,5115248112
2013,38574592,14025792,2060120640,1651148624,1391070576,5154940224
2014,41454496,15550016,2112409584,1648972208,1431594416,5249980720
